path	category	language	size_bytes	line_count	imports	symbols
MacTalk/MacTalkTests/RingBufferTests.swift	Tests	Swift	6672	261	XCTest	class:RingBufferTests,func:testInitialization,func:testPushAndPop,func:testPeek,func:testOverflow,func:testClear,func:testPopMultiple,func:testPopMultipleExceedsAvailable,func:testPushSamples,func:testConcurrentPushAndPop,func:testMultipleWriters,func:testEmptyBufferOperations,func:testSingleElementCapacity,func:testWrapAround,func:testPerformancePush,func:testPerformancePop
MacTalk/MacTalkTests/AppSettingsTests.swift	Tests	Swift	1509	51	XCTest	class:AppSettingsTests,func:test_defaultsToWhisperWhenUnset,func:test_persistsProviderSelection,func:test_postsNotificationOnProviderChange
MacTalk/MacTalkTests/AppPickerIntegrationTests.swift	Tests	Swift	14205	436	XCTest	class:AppPickerIntegrationTests,func:getTestEngine,func:isRunningInCI,func:getShareableContent,func:testWindowControllerInitialization,func:testWindowProperties,func:testWindowSize,func:testAudioSourceFromApp,func:testAudioSourceSystemAudio,func:testAudioSourceIconForApp,func:testAudioSourceIconForSystemAudio,func:testSelectionCallbackAssignment,func:testSelectionCallbackWithValidSource,func:testShowWindow,func:testCloseWindow,func:testMultipleShowCalls,func:testWindowControllerDeallocation,func:testCallbackDoesNotCreateRetainCycle,func:testWindowCreationPerformance,func:testShowWindowPerformance,func:testIntegrationWithScreenAudioCapture,func:testIntegrationWithTranscriptionController,func:testEmptyApplicationList,func:testMultipleDisplays,func:testConcurrentWindowCreation,func:testSearchFieldExists,func:testInitialSelectionState,func:testAudioSourceComparison,func:testSystemAudioSourcesDistinct,func:testRapidCallbackAssignment
MacTalk/MacTalkTests/ConcurrencyStressTests.swift	Tests	Swift	17660	496	AVFoundation,Carbon,XCTest	class:ConcurrencyStressTests,func:test_audioMixer_concurrentConversion,func:makeBuffer,func:test_audioMixer_rapidFormatSwitching,func:makeBuffer,func:test_ringBuffer_concurrentAccess,func:test_audioLevelMonitor_concurrentUpdates,func:test_multiChannelLevelMonitor_concurrentUpdates,func:test_audioCapture_concurrentCallbackAssignment,func:test_audioCapture_concurrentStop,func:test_screenAudioCapture_concurrentCallbackAssignment,func:test_hud_rapidConcurrentUpdates,func:test_statusBarController_rapidShow,func:test_transcriptionController_concurrentCallbacks,func:test_transcriptionController_concurrentPropertyAccess,func:test_appSettings_concurrentProviderSwitching,func:test_hotkeyManager_concurrentOperations,class:IntegrationStressTests,func:test_audioPipeline_concurrentFlow,func:makeBuffer
MacTalk/MacTalkTests/PermissionsTests.swift	Tests	Swift	8918	238	AVFoundation,ApplicationServices,ScreenCaptureKit,XCTest	class:PermissionsTests,func:testMicrophonePermissionCheck,func:testMicrophonePermissionRequest,func:testScreenRecordingPermissionCheckWithCGPreflight,func:testScreenRecordingPermissionCheckConsistency,func:testScreenRecordingPermissionCheckCompletesQuickly,func:testAccessibilityPermissionCheck,func:testAccessibilityPermissionCheckAPI,func:testMicrophoneSettingsURL,func:testScreenRecordingSettingsURL,func:testAccessibilitySettingsURL,func:testGetPermissionStatus,func:testPermissionChecksDontHang,func:testMultipleSimultaneousPermissionChecks,func:testCGPreflightDoesNotBlockAfterPermissionGrant,func:testCGPreflightReturnsConsistentResults,func:testCodeSigningStability
MacTalk/MacTalkTests/Phase4IntegrationTests.swift	Tests	Swift	16254	473	AVFoundation,ScreenCaptureKit,XCTest	class:Phase4IntegrationTests,func:getTestEngine,func:testAudioMixerHandlesBothSources,func:testAudioMixerConvertsToCorrectFormat,func:testTranscriptionControllerModeEnumeration,func:testTranscriptionControllerInitialization,func:testTranscriptionControllerCallbacks,func:testTranscriptionControllerStopWithoutStart,func:testAppAudioErrorHandling,func:testFallbackToMicOnly,func:testMultiChannelLevelMonitor,func:testLevelMonitorChannelIndependence,func:testHUDSupportsAppMeterVisibility,func:testHUDHandlesBothChannelLevels,func:testStatusBarControllerHandlesAppSelection,func:testMultiSourceMixingPerformance,func:testLevelMonitorPerformance,func:testControllerDeallocationWithCallbacks,func:testConcurrentAudioProcessing,func:testRecoveryAfterAppAudioFailure,func:testAudioFlowFromCaptureToMixer,func:testTranscriptionControllerLanguageConfiguration,func:testTranscriptionControllerAutoPasteConfiguration,func:testControllerStateAfterStop
MacTalk/MacTalkTests/NativeWhisperEngineTests.swift	Tests	Swift	20207	549	XCTest	class:NativeWhisperEngineTests,func:testInitWithNonExistentModel,func:testInitWithInvalidPath,func:testInitWithDirectory,func:testInitWithMockModelFile,func:testTranscribeWithoutInitialization,func:testTranscribeWithEmptySamples,func:testTranscribeStreamingParameters,func:testTranscribeFinalParameters,func:testConcurrentTranscriptionAttempts,func:testSerialTranscriptionOrder,func:testEngineDeinitialization,func:testMultipleEngineInstances,func:testResultStructure,func:testResultWithEmptyText,func:testResultWithLongText,func:testTranscribeWithLanguage,func:testTranscribeWithTranslation,func:testTranscribeWithNoContext,func:testTranscribeWithSmallBuffer,func:testTranscribeWithLargeBuffer,func:testInitializationPerformance,func:testTranscribeEmptyPerformance,func:testTranscribeWithSilence,func:testTranscribeWithClipping,func:testTranscribeWithNaN
MacTalk/MacTalkTests/TestHelpers.swift	Tests	Swift	6554	251	AVFoundation,XCTest	class:LockIsolated,func:withValue,func:setValue,actor:AsyncExpectation,func:fulfill,func:isFulfilled,func:wait,enum:TestError,func:flushMainActor,func:createTestBuffer,func:createTestBufferWithTone,func:createTestBufferWithNoise,actor:TestCounter,func:increment,func:decrement,func:getCount,func:reset,actor:GenericResultsCollector,func:add,func:addAll,func:getResults,func:count,func:clear,func:getTestNativeWhisperEngine,func:requireTestNativeWhisperEngine
MacTalk/MacTalkTests/AudioLevelMonitorTests.swift	Tests	Swift	10224	336	XCTest	class:AudioLevelMonitorTests,func:testRMSCalculationSilence,func:testRMSCalculationConstantSignal,func:testRMSCalculationSineWave,func:testPeakDetection,func:testPeakDetectionNegativeValues,func:testPeakHold,func:testPeakHoldDecay,func:testPeakHoldReset,func:testSmoothing,func:testSmoothingConvergence,func:testDecibelsForSilence,func:testDecibelsForMaxLevel,func:testDecibelsConversionUtility,func:testNormalizedToDecibels,func:testEmptyBuffer,func:testSingleSample,func:testClipping,func:testReset,func:testMultiChannelMonitor,func:testMultiChannelReset,func:testMultiChannelResetAll,func:testPerformanceRMSCalculation,func:testPerformanceSmallBuffers
MacTalk/MacTalkTests/AudioCaptureIntegrationTests.swift	Tests	Swift	9939	333	AVFoundation,XCTest	class:AudioCaptureIntegrationTests,func:getTestEngine,func:testInitialization,func:testCallbackInitiallyNil,func:testAssignCallback,func:testStopWithoutStarting,func:testMultipleStopCalls,func:testDeinitCallsStop,func:testCallbackDoesNotCreateRetainCycle,func:testRapidCallbackAssignment,func:testRapidStopCalls,func:testCallbackAssignmentPerformance,func:testStopPerformance,func:testRapidStartStop,func:testCallbackAfterStop,func:testAudioEngineAvailability,func:testAudioFormatCompatibility,func:testPCMBufferCreation,func:testMultipleInstances,func:testIndependentCallbacks,func:testCleanupAfterError,func:testRepeatedStopCalls,func:testIntegrationWithAudioMixer,func:testIntegrationWithTranscriptionController,func:testRapidInstanceCreation
